latein_normalisiert,eintraege,tox_werte,edible_werte,spanne_tox,gewinnt_heute,ids,namen,toxische_eintraege_warning
"amanita rubescens",6,"0/1/2/4","ja/nein",4,"PI427 Kleiner Perlpilz (tox 4)","F015 F053 PI131 PI427 PI446 PI492","Perlpilz [tox 1, essbar] | Häuptling Amanita (Perlpilz) [tox 1, essbar] | Echter Perlpilz [tox 0, essbar] | Kleiner Perlpilz [tox 4] | Perlpilz (Essbar) [tox 2, essbar] | Echter Perlpilz Var. annulo [tox 2, essbar]","PI427: Giftig roh! Hämolysin | PI446: Roh giftig! Hämolysin – immer kochen! | PI492: ROCH KOCHEN – Hämolysin"
"vaccinium uliginosum",2,"0/3","ja/nein",3,"P151 Rauschbeere (tox 3)","P151 K312","Rauschbeere [tox 3] | Echte Rauschbeere [tox 0, essbar]","P151: GIFTIG in grösseren Mengen – Rausch, Übelkeit, Krämpfe. NICHT mit Blaubeere verw"
"cortinarius violaceus",2,"0/3","nein",3,"PI307 Schleierling (Violett) (tox 3)","PI012 PI307","Violetter Schleierling [tox 0] | Schleierling (Violett) [tox 3]","PI307: Giftig! Orellanin"
"sambucus nigra",9,"0/1/2","ja",2,"P144 Holunder (Schwarz) (tox 2)","T019 H015 P144 HP126 W036 K182 K191 K304 K344","Schwarzer Holunder [tox 1, essbar] | Holunderblüte [tox 1, essbar] | Holunder (Schwarz) [tox 2, essbar] | Echter Gelbholunder [tox 1, essbar] | Holunder [tox 0, essbar] | Echter Gemeiner Holunder [tox 0, essbar] | Echter Holunder-Blüten-Tee [tox 0, essbar] | Echter Holunder [tox 0, essbar] | Echter Schwarzer Holunder [tox 0, essbar]","P144: Roh giftig! Beeren müssen erhitzt werden. Blätter und Rinde sind giftig."
"morchella esculenta",6,"0/1/2","ja",2,"PI276 Breitblättrige Morchel (tox 2)","F003 F073 F105 F159 PI011 PI276","Echte Morchel [tox 1, essbar] | Morchel (Echte) [tox 1, essbar] | Echter Morchel [tox 1, essbar] | Echter Wiesenmorchel [tox 1, essbar] | Speise-Morchel [tox 0, essbar] | Breitblättrige Morchel [tox 2, essbar]","PI276: Roh giftig! Immer kochen (Hydrazin-Verbindungen)"
"sambucus ebulus",5,"3/4/5","nein",2,"K345 Echter Zwerg-Holunder (tox 5)","T096 HP106 BA091 K345 BA353","Schwarzer Holunder Zwerg [tox 4] | Gemeines Beinholunder [tox 3] | Attich [tox 4] | Echter Zwerg-Holunder [tox 5] | Gewöhnlicher Rote-Beeren-Holunder [tox 5]","T096: GIFTIG – verwechslung mit Schwarzem Holunder gefährlich! | HP106: GIFTIG! | BA091: HOCHGIFTIG – alle Teile! | K345: HOCHGIFTIG! Alle Teile | BA353: HOCHGIFTIG! Alle Teile!"
"symphytum officinale",4,"1/2/3","nein",2,"P119 Beinwell (Echter) (tox 3)","P062 H039 P119 K140","Beinwell [tox 1] | Echter Beinwell [tox 1] | Beinwell (Echter) [tox 3] | Gewöhnliche Beinwell [tox 2]","P119: NICHT ESSEN – Pyrrolizidinalkaloide schädigen Leber. Nur äusserlich kurz anwende | K140: NICHT innerlich! Pyrrolizidinalkaloide"
"juniperus communis",4,"0/2","ja",2,"T081 Wacholder (Gemeiner) (tox 2)","T018 T081 K302 K343","Wacholder [tox 0, essbar] | Wacholder (Gemeiner) [tox 2, essbar] | Echter Wacholder [tox 2, essbar] | Echter Wacholder (Beere) [tox 2, essbar]","T081: Verwechslung mit giftiger Sadebaum möglich! In Schwangerschaft verboten. | K302: Nicht in Schwangerschaft! | K343: Nicht in Schwangerschaft"
"pholiota squarrosa",4,"1/2/3","nein",2,"PI227 Schüppling (tox 3)","F198 F312 PI227 PI262","Echter Samtiger Schüppling [tox 1] | Trüffel-Büschel-Rübling [tox 2] | Schüppling [tox 3] | Sparriger Schüppling [tox 3]","F312: GIFTIG! Unangenehmer Geruch. Magen-Darm-Vergiftungen. | PI227: Giftig: Übelkeit, besonders mit Alkohol | PI262: Giftig, besonders mit Alkohol"
"arnica montana",3,"0/2","nein",2,"P021 Arnika (tox 2)","P021 H019 W326","Arnika [tox 2] | Arnika-Blüten [tox 2] | Gewöhnliche Arnika [tox 0]","P021: GESCHÜTZT – nicht pflücken! Nur äusserlich anwenden. Nie auf offene Wunden. | H019: GESCHÜTZT! Nur äusserlich."
